[301, 56.771, 1, [52.5977498, 39.550736], [52.5981411, 39.5512661]],
[302, 234.47199999999998, 1, [52.5977498, 39.550736], [52.5992258, 39.5482633]],
[303, 9.723, 1, [52.5949696, 39.5640524], [52.5949166, 39.5641669]],
[304, 264.749, 1, [52.5949696, 39.5640524], [52.5964314, 39.5609585]],
[305, 684.2700000000001, 1, [52.5949696, 39.5640524], [52.5903665, 39.5574189]],
[306, 27.293, 1, [52.5900695, 39.5273183], [52.5902216, 39.5270012]],
[307, 97.936, 1, [52.5900695, 39.5273183], [52.5907203, 39.5282951]],
[308, 458.366, 1, [52.5900695, 39.5273183], [52.5874664, 39.5325794]],
[309, 460.593, 1, [52.5874664, 39.5325794], [52.5905617, 39.5371101]],
[310, 149.624, 1, [52.5874664, 39.5325794], [52.5866168, 39.5342965]],
[311, 458.366, 1, [52.5874664, 39.5325794], [52.5900695, 39.5273183]],
[312, 121.554, 1, [52.5908321, 39.5470313], [52.5915312, 39.5456499]],
[313, 12.629, 1, [52.5905301, 39.547838], [52.5905927, 39.547994]],
[314, 557.1519999999999, 1, [52.5905301, 39.547838], [52.5894204, 39.5399609]],
[315, 375.268, 1, [52.5905301, 39.547838], [52.5878186, 39.5510971]],
[316, 448.105, 1, [52.5866168, 39.5342965], [52.5892885, 39.5391615]],
[317, 648.209, 1, [52.5866168, 39.5342965], [52.5823021, 39.5278449]],
[318, 654.0930000000002, 1, [52.5866168, 39.5342965], [52.5826745, 39.5414808]],
[319, 149.624, 1, [52.5866168, 39.5342965], [52.5874664, 39.5325794]],
[320, 106.34400000000001, 1, [52.5964172, 39.5367988], [52.5957872, 39.5379827]],
[321, 464.5709999999999, 1, [52.5936416, 39.5417559], [52.5905617, 39.5371101]],
[322, 306.33299999999997, 1, [52.5936416, 39.5417559], [52.595531, 39.538459]],
[323, 352.499, 1, [52.5936416, 39.5417559], [52.5915312, 39.5456499]],
[324, 300.03, 1, [52.5997535, 39.5617485], [52.5982377, 39.5654236]],
[325, 272.99, 1, [52.5997535, 39.5617485], [52.6017214, 39.5641653]],
[326, 325.431, 1, [52.5997535, 39.5617485], [52.5974517, 39.5587732]],
[327, 12.629, 1, [52.5905927, 39.547994], [52.5905301, 39.547838]],
[328, 54.59, 1, [52.5905927, 39.547994], [52.5908734, 39.548657]],
[329, 84.154, 1, [52.5905927, 39.547994], [52.5910982, 39.5470669]],
[330, 100.79599999999999, 1, [52.595989, 39.53823], [52.5965914, 39.537115]],
[331, 42.972, 1, [52.5957872, 39.5379827], [52.595531, 39.538459]],
[332, 41.81, 1, [52.5957872, 39.5379827], [52.595989, 39.53823]],
[333, 795.5870000000001, 1, [52.5950736, 39.5194424], [52.6015639, 39.5223757]],
[334, 85.92699999999999, 1, [52.5950736, 39.5194424], [52.5944271, 39.5187483]],
[335, 19.338, 1, [52.5821734, 39.5276524], [52.5823021, 39.5278449]],
[336, 220.34900000000002, 1, [52.5821734, 39.5276524], [52.5835059, 39.5252387]],
[337, 352.888, 1, [52.578718, 39.5346894], [52.5805842, 39.5305519]],
[338, 100.622, 1, [52.578718, 39.5346894], [52.5780706, 39.5337612]],
